id,name,type,sex,age,party,representation,position,state
Kohlekommission,Kohlekommission,1,99,99,99,99,99,99
Platzeck,Matthias Platzeck,0,1,5,3,1,1,4
SPD,SPD,0,99,99,99,99,99,99
Pofalla,Ronald Pofalla,0,1,5,1,2,1,10
DB,Deutsche Bahn,1,99,99,99,99,99,99
CSU,CSU,1,99,99,99,99,99,99
CDU,CDU,1,99,99,99,99,99,99
Praetorius,Barbara Praetorius,0,2,99,99,4,1,3
HfTW,Hochschule für Technik und Wirtschaft Berlin,1,99,99,99,99,99,99
Agora,Agora Energiewende,1,99,99,99,99,99,99
Tillich,Stanislaw Tillich,0,1,5,1,1,1,13
Hasselfeldt,Gerda Hasselfeldt,0,2,5,2,1,2,99
DRK,Deutsches Rotes Kreuz,1,99,99,99,99,99,99
Kampeter,Steffen Kampeter,0,1,4,1,2,2,10
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbände,1,99,99,99,99,99,99
Kapferer,Stefan Kapferer,0,1,4,5,2,2,99
BDEW,Bundesverband der Energie- und Wasserwirtschaft,1,99,99,99,99,99,99
Kempf,Dieter Kempf,0,1,5,99,2,2,99
BDI,Bundesverband der Deutschen Industrie,1,99,99,99,99,99,99
Nemat,Claudia Nemat,0,2,4,99,2,2,99
Telekom,Telekom,1,99,99,99,99,99,99
McKinsey,McKinsey Unternehmensberatung,1,99,99,99,99,99,99
Reiche,Katherina Reiche,0,2,3,1,2,2,4
VKU,Verband Kommunaler Unternehmen,1,99,99,99,99,99,99
Verkehrsministerium,Verkehrsministerium,1,99,99,99,99,99,99
Röstel,Gunda Röstel,0,2,4,4,2,2,13
StadtentwässerungDresden,Stadtentwässerung Dresden,1,99,99,99,99,99,99
EnBW,Energiekonzern EnBW,1,99,99,99,99,99,99
Grüne,Die Grünen,1,99,99,99,99,99,99
Schweitzer,Eric Schweitzer,0,1,4,5,2,2,3
DIHT,Deutscher Industrie- und Handelskammertag,1,99,99,99,99,99,99
Alba,Entsorgungskonzern Alba,1,99,99,99,99,99,99
Grothus,Antje Grothus,0,2,99,99,5,2,11
BFB,Initiative Buirer für Buir,1,99,99,99,99,99,99
BraunkohleBetroffene,Vertretung Braunkohle-Betroffene,1,99,99,99,99,99,99
Wodtke,Hannelore Wodtke,0,2,99,1,5,2,4
GZW,Initiative Grüne Zukunft Welzow,1,99,99,99,99,99,99
Bergbaubeschädigte,Netzwerk Bergbaubeschädigter e.V.,1,99,99,99,99,99,99
Herntier,Christine Herntier,0,2,5,6,5,2,4
Spremberger,Textilveredler Spremberger Tuche,1,99,99,99,99,99,99
